Query Type,struct_id,Total_Cost,Total_Energy,Total_Latency,Quality_of_Answer,New_QoA_Score
Art,0.0,3.3585500000000002e-06,4.22360845,5.6190121,0.3119914626702666,0.31199143421836195
Geography,0.0,2.75436e-06,3.73880676,4.97185288,0.4469324691593647,0.44693247731775043
History,0.0,3.282875e-06,4.18858095,5.51224895,0.4005970855243504,0.3790928367525339
Music,0.0,3.6822e-06,4.52339705,6.0004763,0.321765889134258,0.3217659146990627
Other,0.0,3.5823999999999998e-06,4.2801403,5.6886234,0.279524294193834,0.27952430713921783
Politics,0.0,4.1144e-06,4.851594275,6.374526625,0.42577505223453044,0.4257750580087304
Science and technology,0.0,3.148725e-06,4.014088825,5.297038025,0.4181911526247859,0.40487331254407766
Sports,0.0,4.12372e-06,4.9276135,6.54940666,0.4433724249154329,0.432588941603899
TV shows,0.0,3.77385e-06,4.24881725,5.66608595,0.3230389839969575,0.31505114687606695
Video games,0.0,3.5812750000000003e-06,4.43289785,5.84345815,0.4191520896740258,0.4191521077416837
biology_mmlu,0.0,1.772722e-05,24.71708024,32.25256826,0.8867224968969822,0.82
business_mmlu,0.0,1.5977249999999997e-05,19.056699075,23.652276750000002,0.5752993162721396,0.4
chemistry_mmlu,0.0,2.06715e-05,24.563991475,30.531550225000004,0.48326202761381865,0.25
computer science_mmlu,0.0,1.85026e-05,25.90494332,33.73914618,0.5238146932423116,0.36
health_mmlu,0.0,1.465156e-05,21.42597396,27.927146720000003,0.6641302361339331,0.52
history_mmlu,0.0,2.58343e-05,38.476284199999995,50.12123692,0.42059149239212273,0.34
other_mmlu,0.0,1.169668e-05,17.0582037,22.265761419999997,0.560713736154139,0.4
philosophy_mmlu,0.0,1.47732e-05,20.604565400000002,26.848525159999998,0.523261688053608,0.3
physics_mmlu,0.0,1.5896079999999997e-05,22.07476804,28.79180324,0.4020573760941625,0.24000000000000005
psychology_mmlu,0.0,1.440818e-05,20.56300712,26.791165940000003,0.7047189159691334,0.62
